WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
be                       4     3     2     2    75   241   133     0     0   222     423
prised                   4     4     6     6     4   242   167     4     4   223       1
apart                  -99     0     0     0     0   243     0     0     0     0       0
in                     -99     0     0     0     0   244     0     0     0     0       0
a                        4     4     1     1    16   245   164     0     0   225    1434
flower-bed               4     4    10    10    24   246   249     6     6   226     -99
in                     -99     0     0     0     0   247     0     0     0     0       0
Rhyl                     4     4     4     4    32   248   269     0     0   227       1
Rhyl                     4     4     4     4    36   248   168     4     4   228       1
Rhyl                     4     4     4     4    36   248   255     4     4   229       1
Rhyl                     4     4     4     4    35   248   348     3     3   230       1
in                     -99     0     0     0     0   249     0     0     0     0       0
the                    -99     0     0     0     0   250     0     0     0     0       0
middle                   4     4     6     6    44   251   260     0     0   231      12
of                     -99     0     0     0     0   252     0     0     0     0       0
a                      -99     0     0     0     0   253     0     0     0     0       0
general                  4     4     7     7    58   254   262     2     2   232      17
election                 4     4     8     8    68   255   184     4     4   233       5
campaign.                4     5     9     8     4   256   176     4     4   234       7
On                     -99     0     0     0     0   257     0     0     0     0       0
18                       4     5     2     2    19   258    98     2     2   237     -99
March,                   4     5     6     5    25   259   127     5     5   236       5
March,                   4     5     6     5    23   259   122     3     3   238       5
the                    -99     0     0     0     0   260     0     0     0     0       0
Commons                  4     5     7     7    34   261   232     3     3   239      10
will                   -99     0     0     0     0   262     0     0     0     0       0
undoubtedly              4     5    11    11    46   263   249     2     2   240       2
undoubtedly              4     5    11    11    55   263   211    11    11   241       2
vote,                    4     5     5     4    59   264   289     3     3   242       6
overwhelmingly           4     5    14    14    69   265   368     7     7   243       2
overwhelmingly           4     5    14    14    70   265   125     8     8   245       2
again,                 -99     0     0     0     0   266     0     0     0     0       0
for                      5     1     3     3     9   267   211     2     2   247     519
for                      5     1     3     3     8   267   229     1     1   248     519
for                      5     1     3     3     9   267   116     2     2   250     519
a                      -99     0     0     0     0   268     0     0     0     0       0
complete                 5     1     8     8    13   269   381     0     0   249       6
complete                 5     1     8     8    18   269   193     5     5   251       6
ban                      5     1     3     3    24   270   374     2     2   252       6
on                     -99     0     0     0     0   271     0     0     0     0       0
hunting.                 5     1     8     7    36   272   223     7     7   254       5
hunting.                 5     1     8     7    33   272   235     4     4   255       5
If                     -99     0     0     0     0   273     0     0     0     0       0
left                     5     1     4     4    45   274   272     4     4   258      20
left                     5     1     4     4    43   274    65     2     2   259      20
to                       5     1     2     2    48   275   103     2     2   256    1597
to                       5     1     2     2    48   275    57     2     2   257    1597
themselves,              5     1    11    10    55   276   220     6     6   260      21
the                    -99     0     0     0     0   277     0     0     0     0       0
Lords                    5     1     5     5    67   278   171     2     2   261       9
would                    5     1     5     5    75   279   108     4     4   262     146
just                     5     2     4     4     4   280   139     4     4   264      75
as                       5     2     2     2     5   281   174     0     0   263     422
overwhelmingly           5     2    14    14    17   282   154     9     9   265       2
vote                     5     2     4     4    27   283   211     4     4   266       6
to                     -99     0     0     0     0   284     0     0     0     0       0
leave                    5     2     5     5    36   285   325     5     5   267      11
things                   5     2     6     6    43   286   165     6     6   268      31
as                     -99     0     0     0     0   287     0     0     0     0       0
they                     5     2     4     4    49   288   234     2     2   271     258
are.                     5     2     4     3    52   289    99     0     0   269     351
Mr                     -99     0     0     0     0   290     0     0     0     0       0
Blair                    5     2     5     5    65   291   219     5     5   272      34
Blair                    5     2     5     5    63   291    63     3     3   273      34
Blair                    5     2     5     5    61   291   162     1     1   276      34
may                      5     2     3     3    68   292   200     2     2   275      67
hope                     5     2     4     4    73   293   181     3     3   274      14
hope                     5     2     4     4    71   293   254     1     1   277      14
that                     5     2     4     4    77   294   217     2     2   278     871
the                      5     3     3     3     3   295   235     3     3   279    3511
threat                 -99     0     0     0     0   296     0     0     0     0       0
of                     -99     0     0     0     0   297     0     0     0     0       0
the                      5     3     3     3    15   298    93     1     1   281    3511
Parliament               5     3    10    10    20   299   142     2     2   280      14
Parliament               5     3    10    10    24   299   172     6     6   283      14
Act                      5     3     3     3    32   300   201     3     3   284      10
-                      -99     0     0     0     0   301     0     0     0     0       0
which                  -99     0     0     0     0   302     0     0     0     0       0
requires                 5     3     8     8    44   303   322     3     3   285       5
the                    -99     0     0     0     0   304     0     0     0     0       0
will                     5     3     4     4    56   305   238     2     2   286     210
of                     -99     0     0     0     0   306     0     0     0     0       0
the                    -99     0     0     0     0   307     0     0     0     0       0
Commons                  5     3     7     7    66   308   149     0     0   287      10
Commons                  5     3     7     7    72   308   111     6     6   288      10
ultimately               5     4    10    10     2   309   106     2     2   289       4
to                     -99     0     0     0     0   310     0     0     0     0       0
prevail                  5     4     7     7    19   311   155     5     5   291       2
prevail                  5     4     7     7    18   311    74     4     4   292       2
over                   -99     0     0     0     0   312     0     0     0     0       0
that                     5     4     4     4    28   313   228     1     1   293     871
that                     5     4     4     4    27   313   192     0     0   294     871
that                     5     4     4     4    31   313   223     4     4   296     871
of                     -99     0     0     0     0   314     0     0     0     0       0
the                    -99     0     0     0     0   315     0     0     0     0       0
upper                    5     4     5     5    41   316   153     2     2   295       1
upper                    5     4     5     5    44   316   197     5     5   298       1
House                    5     4     5     5    46   317   248     1     1   297      26
-                      -99     0     0     0     0   318     0     0     0     0       0
will                   -99     0     0     0     0   319     0     0     0     0       0
encourage                5     4     9     9    62   320   258     4     4   299       7
the                    -99     0     0     0     0   321     0     0     0     0       0
Lords                    5     4     5     5    74   322   145     2     2   300       9
to                       5     4     2     2    79   323   154     1     1   301    1597
opt                      5     5     3     3     3   324   201     3     3   302       3
opt                      5     5     3     3     1   324   124     1     1   304       3
for                      5     5     3     3     4   325   312     0     0   303     519
