WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
autumn,                  4     3     7     6    70   242   205     0     0   238       5
autumn,                  4     3     7     6    71   242    76     1     1   240       5
along                    4     4     5     5     4   243   188     4     4   241       8
with                   -99     0     0     0     0   244     0     0     0     0       0
the                      4     4     3     3    14   245   171     3     3   242    3511
BBC's                    4     4     5     5    18   246   167     3     3   243     -99
two                      4     4     3     3    23   247   124     2     2   245      43
digital                  4     4     7     7    27   248   136     2     2   244       8
children's               4     4    10    10    38   249   230     5     5   246     -99
channels.                4     4     9     8    48   250   245     4     4   247       3
channels.                4     4     9     8    53   250    62     9     9   248       3
However,                 4     4     8     7    58   251   235     4     4   249      38
backstage                4     4     9     9    66   252   206     3     3   250       2
ructions                 4     5     8     8     3   253    83     3     3   252       1
ructions                 4     5     8     8     2   253   240     2     2   254       1
from                     4     5     4     4    12   254   259     3     3   253     248
commercial               4     5    10    10    18   255   363     4     4   255       9
competitors              4     5    11    11    30   256   211     5     5   256       4
competitors              4     5    11    11    28   256   162     3     3   257       4
have                     4     5     4     4    40   257   204     3     3   258     361
delayed                  4     5     7     7    46   258   191     4     4   259       3
approval                 4     5     8     8    54   259   203     4     4   260       2
for                    -99     0     0     0     0   260     0     0     0     0       0
the                      4     5     3     3    65   261   244     2     2   261    3511
the                      4     5     3     3    63   261   199     0     0   263    3511
the                      4     5     3     3    65   261   139     2     2   264    3511
corporation's            4     5    13    13    73   262   251     6     6   262     -99
corporation's            4     5    13    13    73   262   127     6     6   265     -99
revamped                 5     1     8     8     3   263   172     3     3   267       1
youth                    5     1     5     5    10   264   149     1     1   268       7
youth                    5     1     5     5    12   264    52     3     3   269       7
service,                 5     1     8     7    19   265   281     4     4   270      25
BBC                      5     1     3     3    25   266   233     1     1   271      21
Three.                   5     1     6     5    32   267   199     4     4   272      28
Three.                   5     1     6     5    30   267   153     2     2   273      28
Three.                   5     1     6     5    34   267   268     6     6   274      28
It's                   -99     0     0     0     0   268     0     0     0     0       0
no                       5     1     2     2    45   269   267     1     1   275     117
secret                   5     1     6     6    49   270   199     2     2   276      12
secret                   5     1     6     6    51   270    97     4     4   277      12
that                   -99     0     0     0     0   271     0     0     0     0       0
the                      5     1     3     3    61   272   172     2     2   278    3511
the                      5     1     3     3    60   272    61     1     1   279    3511
Beeb's                   5     1     6     6    67   273   201     4     4   280     -99
rivals                   5     1     6     6    72   274   236     2     2   281       2
-                      -99     0     0     0     0   275     0     0     0     0       0
above                  -99     0     0     0     0   276     0     0     0     0       0
all,                   -99     0     0     0     0   277     0     0     0     0       0
Rupert                   5     2     6     6    14   278   239     3     3   282       2
Murdoch                  5     2     7     7    19   279   347     1     1   283       3
Murdoch                  5     2     7     7    25   279   180     7     7   284       3
Murdoch                  5     2     7     7    24   279    93     6     6   285       3
-                      -99     0     0     0     0   280     0     0     0     0       0
keenly                   5     2     6     6    34   281   204     6     6   286       1
resent                   5     2     6     6    40   282   379     5     5   287       1
the                    -99     0     0     0     0   283     0     0     0     0       0
spectacle                5     2     9     9    51   284   162     5     5   288       1
spectacle                5     2     9     9    48   284   106     2     2   289       1
spectacle                5     2     9     9    52   284    85     6     6   290       1
spectacle                5     2     9     9    52   284   152     6     6   296       1
spectacle                5     2     9     9    49   284   188     3     3   297       1
of                     -99     0     0     0     0   285     0     0     0     0       0
licence-funded           5     2    14    14    65   286   148     6     6   291     -99
licence-funded           5     2    14    14    63   286   309     4     4   292     -99
licence-funded           5     2    14    14    67   286    63     8     8   293     -99
licence-funded           5     2    14    14    71   286   451    12    12   294     -99
licence-funded           5     2    14    14    70   286   104    11    11   295     -99
licence-funded           5     2    14    14    72   286   228    13    13   298     -99
empire-building          5     3    15    15    15   287   333    15    15   299     -99
a                        5     3     1     1    16   288   258     0     0   302    1434
dozen                    5     3     5     5    23   289   232     5     5   300       3
dozen                    5     3     5     5    22   289   177     4     4   303       3
years                    5     3     5     5    26   290   128     2     2   301     104
after                    5     3     5     5    32   291   195     2     2   304      62
after                    5     3     5     5    35   291   178     5     5   305      62
the                    -99     0     0     0     0   292     0     0     0     0       0
advent                   5     3     6     6    44   293   202     4     4   306       1
of                     -99     0     0     0     0   294     0     0     0     0       0
Sky                      5     3     3     3    51   295   196     1     1   307       4
Sky                      5     3     3     3    53   295   165     3     3   308       4
-                      -99     0     0     0     0   296     0     0     0     0       0
it                     -99     0     0     0     0   297     0     0     0     0       0
seems                    5     3     5     5    60   298   195     1     1   309      30
seems                    5     3     5     5    63   298    58     4     4   310      30
to                     -99     0     0     0     0   299     0     0     0     0       0
presage                  5     3     7     7    70   300   217     2     2   311       1
presage                  5     3     7     7    72   300   153     4     4   313       1
presage                  5     3     7     7    70   300   171     2     2   315       1
presage                  5     3     7     7    72   300   198     4     4   316       1
the                      5     3     3     3    77   301   164     1     1   312    3511
the                      5     3     3     3    76   301   253     0     0   314    3511
the                      5     3     3     3    77   301   147     1     1   317    3511
secular                -99     0     0     0     0   302     0     0     0     0       0
decline                  5     4     7     7    14   303   494     6     6   318       9
of                       5     4     2     2    16   304    95     0     0   319    1757
public-service           5     4    14    14    24   305   241     5     5   320     -99
public-service           5     4    14    14    31   305   243    12    12   321     -99
broadcasting.            5     4    13    12    42   306   262     8     8   322       3
broadcasting.            5     4    13    12    41   306    99     7     7   323       3
With                     5     4     4     4    51   307   206     3     3   324     393
a                      -99     0     0     0     0   308     0     0     0     0       0
clever                   5     4     6     6    58   309   167     3     3   325       3
touch                    5     4     5     5    65   310   157     3     3   326       9
