WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
difference               6     3    10    10    17   392   340     8     8   320      15
to                     -99     0     0     0     0   393     0     0     0     0       0
the                    -99     0     0     0     0   394     0     0     0     0       0
country's                6     3     9     9    27   395   147     0     0   321     -99
country's                6     3     9     9    34   395   174     7     7   322     -99
wellbeing.               6     3    10     9    42   396   234     5     5   323       1
But                    -99     0     0     0     0   397     0     0     0     0       0
it                       6     3     2     2    57   398   172     1     1   324     544
has                      6     3     3     3    60   399    74     1     1   325     239
to                     -99     0     0     0     0   400     0     0     0     0       0
be                       6     3     2     2    66   401   159     0     0   326     423
a                        6     3     1     1    70   402    85     1     1   327    1434
lasting                  6     3     7     7    73   403   107     2     2   328       3
difference.            -99     0     0     0     0   404     0     0     0     0       0
Some                   -99     0     0     0     0   405     0     0     0     0       0
day                      6     4     3     3    20   406   197     3     3   329      35
the                    -99     0     0     0     0   407     0     0     0     0       0
cheques                  6     4     7     7    25   408   153     0     0   330       2
cheques                  6     4     7     7    32   408   191     7     7   331       2
will                   -99     0     0     0     0   409     0     0     0     0       0
dry                      6     4     3     3    40   410   152     2     2   332       5
up                       6     4     2     2    43   411   116     1     1   333     135
and                    -99     0     0     0     0   412     0     0     0     0       0
the                      6     4     3     3    50   413    83     1     1   334    3511
expensive                6     4     9     9    58   414   203     5     5   335       7
consultants              6     4    11    11    68   415   223     5     5   336       1
consultants              6     4    11    11    74   415   188    11    11   337       1
in                     -99     0     0     0     0   416     0     0     0     0       0
