WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
new                      6     2     3     3    81   362    67     1     1    -3      93
because                  6     3     7     7    12   364   185     7     7   -99      78
no                       6     3     2     2    23   367   177     0     0   -11     117
audience                 6     3     8     8    30   368   246     4     4    -7       5
in                       6     3     2     2    42   371   167     0     0   -12    1091
commercial               6     3    10    10    51   372   220     6     6    -9       9
theatre.                 6     3     8     7    60   373   182     4     4    -9       2
now                      6     3     3     3    75   376   140     2     2   -15     107
But                      6     4     3     3    15   379   113     0     0   -99     325
every                    6     4     5     5    24   381   192     1     1    -9      45
success,                 6     4     8     7    31   382   204     2     2    -7      20
success,                 6     4     8     7    37   382   146     8     8    -6      20
will                     6     4     4     4    46   384   191     2     2    -9     210
always                   6     4     6     6    51   385    75     2     2    -5      26
be                       6     4     2     2    56   386   150     0     0    -5     423
failures.                6     4     9     8    63   387   163     4     4    -7       1
Warner                   6     4     6     6    75   389   238     3     3   -12       3
unfortunate              6     5    11    11     5   391   143     1     1   -99       2
be                       6     5     2     2    19   393   208     0     0   -14     423
in                       6     5     2     2    23   394    65     1     1    -4    1091
one                      6     5     3     3    28   395   196     3     3    -5     176
them.                    6     5     5     4    33   397   180     1     1    -5      80
Better                   6     5     6     6    42   398   187     4     4    -9      26
luck                     6     5     4     4    48   399   160     3     3    -6       4
time,                    6     5     5     4    56   401   207     1     1    -8     105
Warner.                  6     5     7     6    64   403   237     0     0    -8       3
time,                    6     5     5     4    59   401   193     4     4     5     105
Warner.                  6     5     7     6    67   403    64     3     3    -8       3
Warner.                  6     5     7     6    69   403   243     5     5    -2       3
One                      7     1     3     3     3   404   143     3     3     0     176
joys                     7     1     4     4    13   407    98     2     2   -10       1
modern                   7     1     6     6    21   409   157     2     2    -8      13
Olympic                  7     1     7     7    27   410   189     1     1    -6       1
Olympic                  7     1     7     7    33   410   147     7     7    -6       1
is                       7     1     2     2    40   412   172     0     0    -7     717
discovery                7     1     9     9    51   414   201     4     4   -11       6
yet                      7     1     3     3    63   416   155     1     1   -12      49
another                  7     1     7     7    70   417   131     4     4    -7      33
activity                 7     2     8     8    15   419   217     6     6   -99       9
impossible               7     2    10    10    27   421   237     7     7   -12      11
judge                    7     2     5     5    38   423   276     4     4   -11       6
objectively,             7     2    12    11    46   424   198     6     6    -8       2
uninteresting            7     2    13    13    58   425   369     5     5   -12       1
watch                    7     2     5     5    74   427   249     4     4   -16      11
mechanised               7     3    10    10     9   429   163     9     9   -99       1
point                    7     3     5     5    22   432   184     4     4   -13      26
of                       7     3     2     2    25   433   164     1     1    -3    1757
absurdity                7     3     9     9    33   434   144     6     6    -8       1
*Off-screen              7   -99     9     9   -99   -99    63   -99   -99   -99     -99
fact                     7     3     4     4    49   438   147     4     4   -99      32
official                 7     3     8     8    55   440   226     2     2    -6      10
medal-entitling          7     3    15    15    62   441   157     0     0    -7     -99
medal-entitling          7     3    15    15    65   441   162     3     3    -3     -99
medal-entitling          7     3    15    15    74   441   126    12    12    -9     -99
sport.                   7     4     6     5     5   442   353     5     5   -99       6
synchronised             7     4    12    12    10   444   276     0     0    -5       1
synchronised             7     4    12    12    13   444   242     3     3    -3       1
synchronised             7     4    12    12    16   444   179     6     6    -3       1
swimming                 7     4     8     8    24   445   135     1     1    -8       1
swimming                 7     4     8     8    28   445   141     5     5    -4       1
ice-dancing              7     4    11    11    40   447   281     4     4   -12     -99
ice-dancing              7     4    11    11    43   447   221     7     7    -3     -99
ice-dancing              7     4    11    11    47   447    93    11    11    -4     -99
now                      7     4     3     3    54   449   193     3     3    -7     107
add                      7     4     3     3    58   450   113     3     3    -4       6
synchronised             7     4    12    12    16   444   252     6     6    42       1
synchronised             7     4    12    12    12   444   203     2     2     4       1
swimming                 7     4     8     8    31   445   276     8     8   -19       1
ice-dancing              7     4    11    11    37   447   177     1     1    -6     -99
add                      7     4     3     3    57   450   184     2     2   -20       6
freestyle                7     4     9     9    66   452   243     3     3    -9       1
freestyle                7     4     9     9    71   452   154     8     8    -5       1
mˆl‚e                    7     4     5     5    77   453   271     4     4    -6     -99
teenagers                7     5     9     9    10   455   165     6     6   -99       2
search                   7     5     6     6    21   457   213     4     4   -11       4
drink,                   7     5     6     5    30   460   228     1     1    -9       3
rubber-bullet            7     5    13    13    43   462   235     3     3   -13     -99
rubber-bullet            7     5    13    13    49   462   248     9     9    -6     -99
the                      7     5     3     3    39   461   154     3     3    10    3511
shooting                 7     5     8     8    59   463   237     5     5   -20       1
moving                   7     5     6     6    68   465   663     2     2    -9       5
*Off-screen              8   -99     6     6   -99   -99   138   -99   -99   -99     -99
targets,                 8     1     8     7     2   466   149     2     2   -99       4
of                       8     1     2     2    14   468   144     0     0   -12    1757
course,                  8     1     7     6    18   469    65     1     1    -4      32
course,                  8     1     7     6    22   469   109     5     5    -4      32
competitive              8     1    11    11    31   470    88     6     6    -9       2
*Blink                   8   -99    11    11   -99   -99    98   -99   -99   -99     -99
pharmacology,            8     1    13    12    43   471   421     6     6   -99       1
pharmacology,            8     1    13    12    47   471   197    10    10    -4       1
in                       8     1     2     2    52   472   146     1     1    -5    1091
which                    8     1     5     5    55   473   145     1     1    -3     152
participants             8     1    12    12    64   474   194     4     4    -9       1
try                      8     1     3     3    73   475    95     0     0    -9      15
to                       8     1     2     2    79   476    95     2     2    -6    1597
given                    8     2     5     5    17   479   233     4     4   -99      20
substances               8     2    10    10    26   480   161     7     7    -9       1
establish                8     2     9     9     9   477    82     9     9    17       1
establish                8     2     9     9     6   477   158     6     6     3       1
covered                  8     2     7     7    34   482   161     0     0   -28       3
covered                  8     2     7     7    37   482   150     3     3    -3       3
the                      8     2     3     3    47   484   179     2     2   -10    3511
ban                      8     2     3     3    51   485   188     2     2    -4       6
EPO.                     8     2     4     3    56   487   233     0     0    -5       1
the                      8     2     3     3    48   484   153     3     3     8    3511
Little                   8     2     6     6    70   488   223     5     5   -22      33
